Epoch 00000 | Loss 0.6919 | Test Acc 0.5000 | Time(s) nan
Epoch 00001 | Loss 0.6914 | Test Acc 0.5000 | Time(s) nan
Epoch 00002 | Loss 0.6909 | Test Acc 0.5000 | Time(s) nan
Epoch 00003 | Loss 0.6904 | Test Acc 0.5000 | Time(s) 0.0352
Epoch 00004 | Loss 0.6899 | Test Acc 0.5000 | Time(s) 0.0380
Epoch 00005 | Loss 0.6894 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00006 | Loss 0.6889 | Test Acc 0.5000 | Time(s) 0.0384
Epoch 00007 | Loss 0.6884 | Test Acc 0.5000 | Time(s) 0.0376
Epoch 00008 | Loss 0.6879 | Test Acc 0.5000 | Time(s) 0.0377
Epoch 00009 | Loss 0.6874 | Test Acc 0.5000 | Time(s) 0.0376
Epoch 00010 | Loss 0.6869 | Test Acc 0.5000 | Time(s) 0.0371
Epoch 00011 | Loss 0.6865 | Test Acc 0.5000 | Time(s) 0.0369
Epoch 00012 | Loss 0.6860 | Test Acc 0.5000 | Time(s) 0.0369
Epoch 00013 | Loss 0.6855 | Test Acc 0.5000 | Time(s) 0.0367
Epoch 00014 | Loss 0.6850 | Test Acc 0.5000 | Time(s) 0.0369
Epoch 00015 | Loss 0.6846 | Test Acc 0.5000 | Time(s) 0.0367
Epoch 00016 | Loss 0.6841 | Test Acc 0.5000 | Time(s) 0.0368
Epoch 00017 | Loss 0.6836 | Test Acc 0.5000 | Time(s) 0.0367
Epoch 00018 | Loss 0.6832 | Test Acc 0.5000 | Time(s) 0.0367
Epoch 00019 | Loss 0.6827 | Test Acc 0.5000 | Time(s) 0.0368
Epoch 00020 | Loss 0.6822 | Test Acc 0.5000 | Time(s) 0.0377
Epoch 00021 | Loss 0.6818 | Test Acc 0.5000 | Time(s) 0.0379
Epoch 00022 | Loss 0.6813 | Test Acc 0.5000 | Time(s) 0.0378
Epoch 00023 | Loss 0.6808 | Test Acc 0.5000 | Time(s) 0.0376
Epoch 00024 | Loss 0.6804 | Test Acc 0.5000 | Time(s) 0.0379
Epoch 00025 | Loss 0.6799 | Test Acc 0.5000 | Time(s) 0.0378
Epoch 00026 | Loss 0.6795 | Test Acc 0.5000 | Time(s) 0.0377
Epoch 00027 | Loss 0.6790 | Test Acc 0.5000 | Time(s) 0.0376
Epoch 00028 | Loss 0.6785 | Test Acc 0.5000 | Time(s) 0.0376
Epoch 00029 | Loss 0.6781 | Test Acc 0.5000 | Time(s) 0.0375
Epoch 00030 | Loss 0.6776 | Test Acc 0.5000 | Time(s) 0.0375
Epoch 00031 | Loss 0.6772 | Test Acc 0.5000 | Time(s) 0.0374
Epoch 00032 | Loss 0.6767 | Test Acc 0.5000 | Time(s) 0.0377
Epoch 00033 | Loss 0.6762 | Test Acc 0.5000 | Time(s) 0.0382
Epoch 00034 | Loss 0.6758 | Test Acc 0.5000 | Time(s) 0.0385
Epoch 00035 | Loss 0.6753 | Test Acc 0.5000 | Time(s) 0.0389
Epoch 00036 | Loss 0.6749 | Test Acc 0.5000 | Time(s) 0.0394
Epoch 00037 | Loss 0.6744 | Test Acc 0.5000 | Time(s) 0.0392
Epoch 00038 | Loss 0.6740 | Test Acc 0.5000 | Time(s) 0.0391
Epoch 00039 | Loss 0.6735 | Test Acc 0.5000 | Time(s) 0.0390
Epoch 00040 | Loss 0.6731 | Test Acc 0.5000 | Time(s) 0.0389
Epoch 00041 | Loss 0.6726 | Test Acc 0.5000 | Time(s) 0.0388
Epoch 00042 | Loss 0.6721 | Test Acc 0.5000 | Time(s) 0.0387
Epoch 00043 | Loss 0.6717 | Test Acc 0.5000 | Time(s) 0.0386
Epoch 00044 | Loss 0.6712 | Test Acc 0.5000 | Time(s) 0.0386
Epoch 00045 | Loss 0.6708 | Test Acc 0.5000 | Time(s) 0.0387
Epoch 00046 | Loss 0.6703 | Test Acc 0.5000 | Time(s) 0.0387
Epoch 00047 | Loss 0.6698 | Test Acc 0.5000 | Time(s) 0.0386
Epoch 00048 | Loss 0.6694 | Test Acc 0.5000 | Time(s) 0.0386
Epoch 00049 | Loss 0.6689 | Test Acc 0.5000 | Time(s) 0.0385
Epoch 00050 | Loss 0.6685 | Test Acc 0.5000 | Time(s) 0.0388
Epoch 00051 | Loss 0.6680 | Test Acc 0.5000 | Time(s) 0.0393
Epoch 00052 | Loss 0.6676 | Test Acc 0.5000 | Time(s) 0.0395
Epoch 00053 | Loss 0.6671 | Test Acc 0.5000 | Time(s) 0.0398
Epoch 00054 | Loss 0.6666 | Test Acc 0.5000 | Time(s) 0.0397
